1,phnx-core-7513.getnet.net,216.19.223.1,1.121,33.5083,-112.0717
2,phnx-gsr0.getnet.net,216.19.201.241,0.537,33.5083,-112.0717
3,s1-0.ca01.phx01.atlas.cogentco.com,38.112.7.25,5.807,41.059,-74.1454
4,s2-0.core02.lax01.atlas.cogentco.com,154.54.2.5,18.273,37.751,-97.822
5,t8-1.mpd01.lax01.atlas.cogentco.com,154.54.1.102,18.184,37.751,-97.822
6,t2-1.mpd01.sjc01.atlas.cogentco.com,154.54.5.181,45.323,37.751,-97.822
7,v3498.mpd01.sjc03.atlas.cogentco.com,154.54.6.234,212.070,37.751,-97.822
8,gblx.sjc03.atlas.cogentco.com,154.54.11.174,28.754,37.751,-97.822
9,ge2-2-10G.ar1.SNV2.gblx.net,67.17.107.33,28.367,37.751,-97.822
10,INTERNAP.te1-3.ar1.snv2.gblx.net,64.210.28.142,26.541,37.751,-97.822
11,border2.pc2-0-bbnet2.sje.pnap.net,66.151.144.69,26.595,37.751,-97.822
12,*,*,*,,
13,*,*,*,,
14,*,*,*,,
15,*,*,*,,
16,*,*,*,,
17,*,*,*,,
18,*,*,*,,
19,*,*,*,,
20,*,*,*,,
21,*,*,*,,
22,*,*,*,,
23,*,*,*,,
24,*,*,*,,
25,*,*,*,,
26,*,*,*,,
27,*,*,*,,
28,*,*,*,,
29,*,*,*,,
30,*,*,*,,
